id,label
733,-1
734,-1
735,-1
736,-1
737,-1
738,-1
739,-1
740,-1
741,-1
742,5
743,9
744,4
745,3
746,-1
747,10
748,1
749,-1
750,-1
751,-1
752,-1
753,-1
754,-1
755,8
756,10
757,0
758,-1
759,5
760,0
761,10
762,-1
763,-1
764,2
765,2
766,-1
767,6
768,-1
769,9
770,2
771,-1
772,1
773,1
774,7
775,5
776,5
777,-1
778,0
779,0
780,2
781,2
782,5
783,-1
784,-1
785,-1
786,3
787,0
788,-1
789,-1
790,9
791,8
792,3
793,5
794,-1
795,5
796,-1
797,-1
798,10
799,-1
800,4
801,2
802,9
803,-1
804,-1
805,2
806,-1
807,2
808,6
809,1
810,0
811,-1
812,-1
813,-1
814,2
815,3
816,-1
817,-1
818,3
819,-1
820,10
821,4
822,10
823,0
824,10
825,2
826,-1
827,2
828,9
829,5
830,3
831,-1
832,9
833,-1
834,5
835,4
836,-1
837,2
838,-1
839,-1
840,8
841,-1
842,3
843,-1
844,-1
845,-1
846,-1
847,1
848,-1
849,1
850,-1
851,0
852,-1
853,-1
854,-1
855,-1
856,-1
857,-1
858,-1
859,-1
860,0
861,9
862,-1
863,-1
864,1
865,-1
866,8
867,3
868,4
869,-1
870,-1
871,-1
872,-1
873,4
874,10
875,-1
876,-1
877,1
878,-1
879,3
880,3
881,3
882,1
883,-1
884,0
885,-1
886,10
887,-1
888,3
889,-1
890,-1
891,-1
892,3
893,4
894,-1
895,0
896,3
897,-1
898,-1
899,2
900,6
901,-1
902,-1
903,1
904,-1
905,2
906,-1
907,2
908,-1
909,-1
910,-1
911,2
912,-1
913,2
914,-1
915,-1
916,2
917,-1
918,-1
919,6
920,-1
921,-1
922,-1
923,0
924,-1
925,6
926,-1
927,-1
928,-1
929,-1
930,-1
931,0
932,9
933,-1
934,-1
935,-1
936,-1
937,3
938,-1
939,-1
940,-1
941,0
942,-1
943,-1
944,-1
945,0
946,-1
947,-1
948,-1
949,-1
950,0
951,-1
952,2
953,-1
954,-1
955,-1
956,2
957,0
958,0
959,0
960,-1
961,3
962,6
963,-1
964,-1
965,-1
966,1
967,-1
968,10
969,-1
970,-1
971,-1
972,0
973,-1
974,10
975,0
976,8
977,2
978,-1
979,-1
980,4
981,-1
982,5
983,1
984,-1
985,-1
986,-1
987,-1
988,-1
989,4
990,-1
991,8
992,-1
993,-1
994,0
995,-1
996,-1
